trials_H,mode_H,curvature,loss_mm,distance_um,qe,eta_geom,dark_cps,deadtime_ns,win_ns,emit_photons_mean_H,emit_photons_sem_H,gate_photons_mean_H,gate_photons_sem_H,coincidence_ratio_mean_H,coincidence_ratio_sem_H,peak_sharpness_mean_H,peak_sharpness_sem_H,p2rms_mean_H,p2rms_sem_H,det_photons_mean_H,det_photons_sem_H,snr_mean_H,snr_sem_H,motor_net_steps_mean_H,motor_net_steps_sem_H,photon_peak_mean_H,photon_peak_sem_H,cilia_phase_reset_mean_H,cilia_phase_reset_sem_H,spindle_metric_mean_H,spindle_metric_sem_H,__source___H,prc_eps_H,prc_threshold_H,N_H,alpha_H,ell_um_H,node_radius_um_H,kappa_sigma_H,trials_A,mode_A,emit_photons_mean_A,emit_photons_sem_A,gate_photons_mean_A,gate_photons_sem_A,coincidence_ratio_mean_A,coincidence_ratio_sem_A,peak_sharpness_mean_A,peak_sharpness_sem_A,p2rms_mean_A,p2rms_sem_A,det_photons_mean_A,det_photons_sem_A,snr_mean_A,snr_sem_A,motor_net_steps_mean_A,motor_net_steps_sem_A,photon_peak_mean_A,photon_peak_sem_A,cilia_phase_reset_mean_A,cilia_phase_reset_sem_A,spindle_metric_mean_A,spindle_metric_sem_A,__source___A,prc_eps_A,prc_threshold_A,N_A,alpha_A,ell_um_A,node_radius_um_A,kappa_sigma_A,snr_gap,snr_ratio,coincidence_ratio_mean_gap,coincidence_ratio_mean_ratio,p2rms_mean_gap,p2rms_mean_ratio,peak_sharpness_mean_gap,peak_sharpness_mean_ratio,gate_photons_mean_gap,gate_photons_mean_ratio
64,hypothesis,0.9,10.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,0.9,10.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,0.9,10.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,0.9,10.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,5.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,7.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.0,10.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,5.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,7.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,10.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,10.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,20.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,20.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,35.0,0.8,0.3,20.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark20_dead0.csv,,,,,,,,,,,,,,,,,
64,hypothesis,1.1,10.0,35.0,0.8,0.3,50.0,50.0,0.25,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,64,antithesis,,,,,,,,,,,,,,,,,,,,,,,sweep_hw_dark50_dead50.csv,,,,,,,,,,,,,,,,,
